rank,city,state_abbr,state_full,slug,population,medicaid_doula_coverage,build_status,seo_score,tier,lat,lng,upgrade_status
1,Norfolk,VA,Virginia,norfolk-va,245115,YES,built,15.0,sweet-spot,36.8945,-76.259,Denver-level
2,Chesapeake,VA,Virginia,chesapeake-va,237940,YES,built,15.0,sweet-spot,36.6778,-76.3024,needs-upgrade
3,Fremont,CA,California,fremont-ca,233136,YES,built,15.0,sweet-spot,37.5256,-121.987,Denver-level
4,San Bernardino,CA,California,san-bernardino-ca,216239,YES,not-built,15.0,sweet-spot,34.1412,-117.2936,
5,Tacoma,WA,Washington,tacoma-wa,211277,YES,built,15.0,sweet-spot,47.2431,-122.4531,needs-upgrade
6,Fontana,CA,California,fontana-ca,209665,YES,not-built,15.0,sweet-spot,34.0967,-117.4599,
7,Moreno Valley,CA,California,moreno-valley-ca,205499,YES,not-built,15.0,sweet-spot,33.9244,-117.2045,
8,Aurora,IL,Illinois,aurora-il,201110,YES,built,15.0,sweet-spot,41.7638,-88.2901,needs-upgrade
9,Glendale,CA,California,glendale-ca,200831,YES,not-built,15.0,sweet-spot,34.1818,-118.2468,
10,Yonkers,NY,New York,yonkers-ny,200807,YES,built,15.0,sweet-spot,40.9466,-73.8674,needs-upgrade
11,Huntington Beach,CA,California,huntington-beach-ca,200652,YES,not-built,15.0,sweet-spot,33.696,-118.0023,
12,Newport News,VA,Virginia,newport-news-va,181825,YES,not-built,15.0,sweet-spot,37.1052,-76.5185,
13,Rancho Cucamonga,CA,California,rancho-cucamonga-ca,176534,YES,not-built,15.0,sweet-spot,34.1246,-117.5662,
14,Oceanside,CA,California,oceanside-ca,175464,YES,not-built,15.0,sweet-spot,33.2247,-117.3083,
15,Garden Grove,CA,California,garden-grove-ca,174858,YES,not-built,15.0,sweet-spot,33.7787,-117.9601,
16,Vancouver,WA,Washington,vancouver-wa,174826,YES,built,15.0,sweet-spot,45.6352,-122.5972,Denver-level
17,Ontario,CA,California,ontario-ca,173212,YES,not-built,15.0,sweet-spot,34.0393,-117.6064,
18,Elk Grove,CA,California,elk-grove-ca,169743,YES,not-built,15.0,sweet-spot,38.416,-121.3841,
19,Corona,CA,California,corona-ca,166785,YES,not-built,15.0,sweet-spot,33.8623,-117.5642,
20,Cary,NC,North Carolina,cary-nc,162320,YES,built,15.0,sweet-spot,35.7815,-78.8162,needs-upgrade
21,Hayward,CA,California,hayward-ca,158937,YES,not-built,15.0,sweet-spot,37.6327,-122.0776,
22,Palmdale,CA,California,palmdale-ca,157356,YES,not-built,15.0,sweet-spot,34.5945,-118.1058,
23,Alexandria,VA,Virginia,alexandria-va,155810,YES,not-built,15.0,sweet-spot,38.8184,-77.0861,
24,Lakewood,CO,Colorado,lakewood-co,154393,YES,built,15.0,sweet-spot,39.6977,-105.117,needs-upgrade
25,Sunnyvale,CA,California,sunnyvale-ca,152771,YES,not-built,15.0,sweet-spot,37.3846,-122.0261,
26,Pomona,CA,California,pomona-ca,152494,YES,not-built,15.0,sweet-spot,34.0585,-117.7625,
27,Escondido,CA,California,escondido-ca,151613,YES,not-built,15.0,sweet-spot,33.1349,-117.0721,
28,Joliet,IL,Illinois,joliet-il,148262,YES,built,15.0,sweet-spot,41.5201,-88.1503,needs-upgrade
29,Torrance,CA,California,torrance-ca,147195,YES,not-built,15.0,sweet-spot,33.8346,-118.3417,
30,Naperville,IL,Illinois,naperville-il,147122,YES,built,15.0,sweet-spot,41.7483,-88.1656,needs-upgrade
31,Paterson,NJ,New Jersey,paterson-nj,147000,YES,built,15.0,sweet-spot,40.9147,-74.1624,needs-upgrade
32,Pasadena,CA,California,pasadena-ca,142059,YES,not-built,15.0,sweet-spot,34.1598,-118.1389,
33,Bellevue,WA,Washington,bellevue-wa,141400,YES,not-built,15.0,sweet-spot,47.5953,-122.155,
34,Fullerton,CA,California,fullerton-ca,140721,YES,not-built,15.0,sweet-spot,33.8841,-117.9279,
35,Orange,CA,California,orange-ca,140504,YES,not-built,15.0,sweet-spot,33.8038,-117.8219,
36,Thornton,CO,Colorado,thornton-co,136703,YES,not-built,15.0,sweet-spot,39.9202,-104.9445,
37,West Valley City,UT,Utah,west-valley-city-ut,136574,YES,not-built,15.0,sweet-spot,40.6889,-112.0115,
38,Hampton,VA,Virginia,hampton-va,135410,YES,not-built,15.0,sweet-spot,37.0551,-76.3629,
39,Warren,MI,Michigan,warren-mi,135125,YES,not-built,15.0,sweet-spot,42.4934,-83.027,
40,Roseville,CA,California,roseville-ca,132671,YES,not-built,15.0,sweet-spot,38.7683,-121.3164,
41,Sterling Heights,MI,Michigan,sterling-heights-mi,132427,YES,not-built,15.0,sweet-spot,42.581,-83.0304,
42,Stamford,CT,Connecticut,stamford-ct,129113,YES,built,15.0,sweet-spot,41.1035,-73.5583,needs-upgrade
43,Elizabeth,NJ,New Jersey,elizabeth-nj,128640,YES,not-built,15.0,sweet-spot,40.6655,-74.1918,
44,Kent,WA,Washington,kent-wa,127514,YES,not-built,15.0,sweet-spot,47.3887,-122.2128,
45,Santa Clara,CA,California,santa-clara-ca,125948,YES,not-built,15.0,sweet-spot,37.3646,-121.9679,
46,Berkeley,CA,California,berkeley-ca,121240,YES,not-built,15.0,sweet-spot,37.8723,-122.276,
47,Arvada,CO,Colorado,arvada-co,117453,YES,not-built,15.0,sweet-spot,39.8321,-105.1508,
48,Independence,MO,Missouri,independence-mo,117030,YES,not-built,15.0,sweet-spot,39.0871,-94.3503,
49,El Monte,CA,California,el-monte-ca,115807,YES,not-built,15.0,sweet-spot,34.0739,-118.0291,
50,Carlsbad,CA,California,carlsbad-ca,113952,YES,not-built,15.0,sweet-spot,33.1246,-117.2836,
51,Westminster,CO,Colorado,westminster-co,113875,YES,not-built,15.0,sweet-spot,39.8837,-105.0627,
52,West Jordan,UT,Utah,west-jordan-ut,113699,YES,not-built,15.0,sweet-spot,40.6024,-112.0008,
53,Downey,CA,California,downey-ca,113267,YES,not-built,15.0,sweet-spot,33.9379,-118.1312,
54,Temecula,CA,California,temecula-ca,113054,YES,not-built,15.0,sweet-spot,33.4928,-117.1315,
55,Costa Mesa,CA,California,costa-mesa-ca,112822,YES,not-built,15.0,sweet-spot,33.6667,-117.9135,
56,Elgin,IL,Illinois,elgin-il,112123,YES,not-built,15.0,sweet-spot,42.0385,-88.3227,
57,Gresham,OR,Oregon,gresham-or,111523,YES,built,15.0,sweet-spot,45.5023,-122.4414,needs-upgrade
58,Inglewood,CA,California,inglewood-ca,110654,YES,not-built,15.0,sweet-spot,33.9566,-118.3444,
59,Cambridge,MA,Massachusetts,cambridge-ma,110651,YES,not-built,15.0,sweet-spot,42.3758,-71.1184,
60,Lowell,MA,Massachusetts,lowell-ma,110558,YES,not-built,15.0,sweet-spot,42.6389,-71.3217,
61,Centennial,CO,Colorado,centennial-co,109932,YES,not-built,15.0,sweet-spot,39.5927,-104.8674,
62,Richmond,CA,California,richmond-ca,109813,YES,not-built,15.0,sweet-spot,37.9477,-122.339,
63,Everett,WA,Washington,everett-wa,109043,YES,not-built,15.0,sweet-spot,47.9524,-122.1672,
64,West Covina,CA,California,west-covina-ca,107847,YES,not-built,15.0,sweet-spot,34.0555,-117.9112,
65,Clovis,CA,California,clovis-ca,106583,YES,not-built,15.0,sweet-spot,36.8283,-119.6851,
66,Daly City,CA,California,daly-city-ca,106472,YES,not-built,15.0,sweet-spot,37.6863,-122.4684,
67,Norwalk,CA,California,norwalk-ca,106178,YES,not-built,15.0,sweet-spot,33.9069,-118.0829,
68,Hillsboro,OR,Oregon,hillsboro-or,105164,YES,not-built,15.0,sweet-spot,45.5289,-122.9373,
69,Burbank,CA,California,burbank-ca,104447,YES,not-built,15.0,sweet-spot,34.188,-118.3234,
70,San Mateo,CA,California,san-mateo-ca,103959,YES,not-built,15.0,sweet-spot,37.5522,-122.3122,
71,El Cajon,CA,California,el-cajon-ca,103768,YES,not-built,15.0,sweet-spot,32.8017,-116.9604,
72,Rialto,CA,California,rialto-ca,103314,YES,not-built,15.0,sweet-spot,34.1128,-117.3885,
73,Vista,CA,California,vista-ca,101659,YES,not-built,15.0,sweet-spot,33.1895,-117.2386,
74,Renton,WA,Washington,renton-wa,100953,YES,not-built,15.0,sweet-spot,47.4757,-122.1904,
75,Beaverton,OR,Oregon,beaverton-or,97590,YES,built,13.5,sweet-spot,45.4779,-122.8168,needs-upgrade
76,Compton,CA,California,compton-ca,97550,YES,not-built,13.5,sweet-spot,33.893,-118.2275,
77,Orem,UT,Utah,orem-ut,97499,YES,not-built,13.5,sweet-spot,40.2988,-111.699,
78,Federal Way,WA,Washington,federal-way-wa,96757,YES,not-built,13.5,sweet-spot,47.3091,-122.3358,
79,Spokane Valley,WA,Washington,spokane-valley-wa,96340,YES,not-built,13.5,sweet-spot,47.6625,-117.2345,
80,Rio Rancho,NM,New Mexico,rio-rancho-nm,96028,YES,not-built,13.5,sweet-spot,35.2873,-106.6979,
81,Brockton,MA,Massachusetts,brockton-ma,95630,YES,not-built,13.5,sweet-spot,42.0821,-71.0242,
82,South Gate,CA,California,south-gate-ca,95538,YES,not-built,13.5,sweet-spot,33.9448,-118.1926,
83,San Marcos,CA,California,san-marcos-ca,95261,YES,not-built,13.5,sweet-spot,33.135,-117.1743,
84,Portsmouth,VA,Virginia,portsmouth-va,95252,YES,not-built,13.5,sweet-spot,36.8468,-76.354,
85,Dearborn,MI,Michigan,dearborn-mi,94444,YES,not-built,13.5,sweet-spot,42.3127,-83.213,
86,Livonia,MI,Michigan,livonia-mi,94041,YES,not-built,13.5,sweet-spot,42.3972,-83.3733,
87,Hesperia,CA,California,hesperia-ca,93724,YES,not-built,13.5,sweet-spot,34.3974,-117.3144,
88,Quincy,MA,Massachusetts,quincy-ma,93688,YES,not-built,13.5,sweet-spot,42.2516,-71.0183,
89,Carson,CA,California,carson-ca,92797,YES,not-built,13.5,sweet-spot,33.8374,-118.2559,
90,Lynn,MA,Massachusetts,lynn-ma,92697,YES,not-built,13.5,sweet-spot,42.4778,-70.9662,
91,Santa Monica,CA,California,santa-monica-ca,92478,YES,not-built,13.5,sweet-spot,34.0232,-118.4813,
92,Westminster,CA,California,westminster-ca,91565,YES,not-built,13.5,sweet-spot,33.7523,-117.9938,
93,San Leandro,CA,California,san-leandro-ca,90465,YES,not-built,13.5,sweet-spot,37.7071,-122.1601,
94,Suffolk,VA,Virginia,suffolk-va,89273,YES,not-built,13.5,sweet-spot,36.6953,-76.6398,
95,Newton,MA,Massachusetts,newton-ma,89045,YES,not-built,13.5,sweet-spot,42.3317,-71.2085,
96,Fall River,MA,Massachusetts,fall-river-ma,88930,YES,not-built,13.5,sweet-spot,41.7136,-71.1014,
97,Menifee,CA,California,menifee-ca,88531,YES,not-built,13.5,sweet-spot,33.6909,-117.1849,
98,Norwalk,CT,Connecticut,norwalk-ct,88438,YES,not-built,13.5,sweet-spot,41.1144,-73.4215,
99,Waukegan,IL,Illinois,waukegan-il,88182,YES,not-built,13.5,sweet-spot,42.3697,-87.8716,
100,Hawthorne,CA,California,hawthorne-ca,88031,YES,not-built,13.5,sweet-spot,33.9147,-118.3476,
101,Chino,CA,California,chino-ca,87776,YES,not-built,13.5,sweet-spot,33.9836,-117.6653,
102,Kirkland,WA,Washington,kirkland-wa,87701,YES,not-built,13.5,sweet-spot,47.6996,-122.1982,
103,Citrus Heights,CA,California,citrus-heights-ca,87432,YES,not-built,13.5,sweet-spot,38.6948,-121.288,
104,Whittier,CA,California,whittier-ca,86883,YES,not-built,13.5,sweet-spot,33.9678,-118.0188,
105,Newport Beach,CA,California,newport-beach-ca,86688,YES,not-built,13.5,sweet-spot,33.6151,-117.8669,
106,O'Fallon,MO,Missouri,o'fallon-mo,86274,YES,not-built,13.5,sweet-spot,38.7853,-90.7178,
107,Clifton,NJ,New Jersey,clifton-nj,85845,YES,not-built,13.5,sweet-spot,40.8631,-74.1575,
108,Alhambra,CA,California,alhambra-ca,85474,YES,not-built,13.5,sweet-spot,34.084,-118.1355,
109,Bloomington,MN,Minnesota,bloomington-mn,85319,YES,not-built,13.5,sweet-spot,44.8306,-93.315,
110,Redwood City,CA,California,redwood-city-ca,84950,YES,not-built,13.5,sweet-spot,37.5026,-122.2251,
111,Troy,MI,Michigan,troy-mi,83641,YES,not-built,13.5,sweet-spot,42.5817,-83.1458,
112,Lake Forest,CA,California,lake-forest-ca,83240,YES,not-built,13.5,sweet-spot,33.6606,-117.6712,
113,Buena Park,CA,California,buena-park-ca,83156,YES,not-built,13.5,sweet-spot,33.8572,-118.0046,
114,Cicero,IL,Illinois,cicero-il,82992,YES,not-built,13.5,sweet-spot,41.8445,-87.7593,
